127.0.0.1 - - [25/Feb/2020:10:03:58 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:03:58 +0100] "GET /Projekt1/Home.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:03:58 +0100] "GET /Projekt1/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:04:04 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:04:05 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:06:45 +0100] "GET /Projekt1/Contact.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:06:48 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:06:58 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:06:59 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:05 +0100] "GET /Projekt1/Contact.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:08 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:38 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:45 +0100] "GET /Projekt1/Login.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:47 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:48 +0100] "GET /Projekt1/Contact.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:48 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:07:49 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:08:16 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:08:20 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:12:18 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:12:29 +0100] "GET /Projekt1/Contact.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:12:38 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:12:46 +0100] "GET /Projekt1/Login.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:12:53 +0100] "POST /Projekt1/Logs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:12:53 +0100] "GET /Projekt1/UserPages/UserHome.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:01 +0100] "GET /Projekt1/UserServlet HTTP/1.1" 200 12988
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:04 +0100] "POST /Projekt1/AddToCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:04 +0100] "GET /Projekt1/CartServlet HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:38 +0100] "POST /Projekt1/CartUpdateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:38 +0100] "GET /Projekt1/CartServlet HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:49 +0100] "GET /Projekt1/UserServlet HTTP/1.1" 200 12988
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:53 +0100] "GET /Logout HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:56 +0100] "GET /Projekt1/CartServlet HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:57 +0100] "GET /Projekt1/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:13:57 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:14:00 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:14:08 +0100] "POST /Projekt1/ProcessInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:14:08 +0100] "GET /Projekt1/UserPages/UserHome.jsp HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:14:10 +0100] "GET /Projekt1/UserPages/AddProduct.jsp HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:14:59 +0100] "GET /Projekt1/UserServlet HTTP/1.1" 200 13038
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:04:34 +0100] "GET /Projekt1/UserPages/UserHome.jsp HTTP/1.1" 500 2438
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:04:40 +0100] "GET /Projekt1/Home.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:04:41 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:04:42 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:13 +0100] "GET /Projekt1/Login.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:21 +0100] "POST /Projekt1/Logs HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:28 +0100] "POST /Projekt1/Logs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:28 +0100] "GET /Projekt1/UserPages/UserHome.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:41 +0100] "GET /Projekt1/UserServlet HTTP/1.1" 200 12988
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:43 +0100] "GET /Projekt1/CartServlet HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:44 +0100] "GET /Projekt1/UserPages/UserHome.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:45 +0100] "GET /Projekt1/UserServlet HTTP/1.1" 200 12988
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:46 +0100] "POST /Projekt1/AddToCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:46 +0100] "GET /Projekt1/CartServlet HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:47 +0100] "GET /Projekt1/UserServlet HTTP/1.1" 200 12988
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:49 +0100] "POST /Projekt1/AddToCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:11:05:49 +0100] "GET /Projekt1/CartServlet HTTP/1.1" 200 1696
