127.0.0.1 - - [09/Mar/2020:08:30:13 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:13 +0100] "GET /Projekt1/Home.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:13 +0100] "GET /Projekt1/style/style.css HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:18 +0100] "GET /Projekt1/Contact.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:19 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:23 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:25 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:27 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:28 +0100] "GET /Projekt1/Login.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:31 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:35 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:39 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:41 +0100] "GET /Projekt1/Home.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:43 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:47 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:51 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:55 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:56 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:30:59 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:03 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:07 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:11 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:15 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:19 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:23 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 7828
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:27 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 7828
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:31 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 7828
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:35 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 7828
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:31:39 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 500 7828
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:32:01 +0100] "GET /Projekt1/Home.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:32:02 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:32:03 +0100] "GET /Projekt1/HomeServlet HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:32:49 +0100] "GET /Projekt1/ProductServlet HTTP/1.1" 500 12778
0:0:0:0:0:0:0:1 - - [09/Mar/2020:08:32:50 +0100] "GET /Projekt1/index.jsp HTTP/1.1" 200 1032
